url,response_codes,response_time_avg,response_time_min,response_time_max
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=10,"{""200"": 10}",1.4725418000000001,0.594034,2.214836
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=10,"{""200"": 10}",2.1777302,0.800734,3.453079
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=100,"{""200"": 10}",1.6371826,0.620821,4.119085
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=100,"{""200"": 10}",2.7199013,0.851654,5.566678
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=1000,"{""200"": 10}",3.5421317,1.083805,6.346097
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=1000,"{""200"": 10}",6.1308161,3.447834,12.058923
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=10000,"{""200"": 10}",1.7173789,0.587227,2.840416
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=10000,"{""504"": 1, ""502"": 9}",11.600479400000001,0.368129,60.580834
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=100000,"{""502"": 3, ""503"": 3, ""200"": 4}",0.5553563,0.379381,1.109069
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=100000,"{""200"": 5, ""502"": 5}",13.6910496,0.380195,54.086936
https://iatidatastore.iatistandard.org/search/transaction?q=((transaction_recipient_country_code:(NG)%20OR%20activity_recipient_country_code:(NG))%20AND%20transaction_date_iso_date:[2015-12-31T00:00:00Z%20TO%20*])&wt=csv&tr=transaction-csv.xsl&rows=1000000,"{""502"": 6, ""503"": 3, ""200"": 1}",0.4920473,0.381226,1.374666
https://iatidatastore.iatistandard.org/search/activity?q=recipient_country_code:(NG)&wt=xslt&tr=activity-csv.xsl&rows=1000000,"{""200"": 10}",20.5402649,19.675176,21.667708
